hirehop_category,suggested_warehousecore_category,warehousecore_category,suggested_warehousecore_subcategory,warehousecore_subcategory
Cases,AC,Accessories,AC-CAS,Cases & Flight Cases
Bild-kablar,CA,Cables & Connectors,CA-VIC,Video Cables
DI etc,AU,Audio,,
Dimmer,LT,Lighting,LT-CTL,Controllers & Dimmers
DMX-kablar,CA,Cables & Connectors,CA-DMX,DMX Cables
Distro,PW,Power Distribution,PW-DST,Distribution Boards
Enpunktstross,RS,Rigging & Staging,,
Högtalare,AU,Audio,AU-SPA,PA Speakers
IT,ICT,ICT & Network,,
Kameror,VI,Video,VI-CAM,Cameras
Konverterare,VI,Video,,
Ljud,AU,Audio,,
Ljudkort,AU,Audio,,
Mikrofoner,AU,Audio,AU-MIC,Microphones
Mixerbord,AU,Audio,AU-MIX,Mixing Consoles
Moving Heads,LT,Lighting,LT-MH,Moving Heads
Armaturer,LT,Lighting,,
LED,LT,Lighting,,
Ljus,LT,Lighting,,
Ljusbord,LT,Lighting,LT-CTL,Controllers & Dimmers
Nätverk,ICT,ICT & Network,ICT-NSW,Network Switches
Schuko,PW,Power Distribution,CA-PWC,Power Cables
Spare lamps,LT,Lighting,,
Stagebox,AU,Audio,,
Ström,PW,Power Distribution,,
Stativ,AC,Accessories,RS-STA,Stands & Tripods
Trefas-kablar,PW,Power Distribution,CA-PWC,Power Cables
Tillbehör,AC,Accessories,,
Verktyg,AC,Accessories,AC-HWT,Hardware & Tools